batch_rank,research_score,review_tier,priority_rank,ticker,company,exchange,market_cap_usd,market_cap_bucket,sector,priority_method,filer_category,last_annual,recommended_categories,cik,existing_catalog_match,existing_leader_count,existing_leader_names,existing_x_handles,source_research_priority,discovery_mode,target_roles,executive_name,executive_role,role_status,role_source_url,x_handle,x_check_type,x_identity_status,x_identity_source_url,x_activity_status,x_last_activity_at,sp500_member,nasdaq100_member,confidence,review_status,review_notes
137,57,C,146,CTAS,Cintas,NASDAQ,79100000000,large_25_100b,工业,market_cap,,,上市公司|NASDAQ|工业,0000723254,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
138,57,C,150,ITW,Illinois Tool Works,NYSE,77500000000,large_25_100b,工业,market_cap,,,上市公司|NYSE|工业,0000049826,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
139,56,C,109,FCX,Freeport-McMoRan,NYSE,102800000000,large_100_500b,原材料,market_cap,,,上市公司|NYSE|原材料,0000831259,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
140,56,C,120,HCA,HCA Healthcare,NYSE,94900000000,large_25_100b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0000860730,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
141,56,C,127,ELV,Elevance Health,NYSE,89200000000,large_25_100b,医疗健康,market_cap,,,上市公司|NYSE|医疗,0001156039,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
142,56,C,129,WMB,Williams Companies,NYSE,88100000000,large_25_100b,能源,market_cap,,,上市公司|NYSE|能源,0000107263,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
143,56,C,143,REGN,Regeneron Pharmaceuticals,NASDAQ,80800000000,large_25_100b,医疗健康,market_cap,,,上市公司|NASDAQ|医疗,0000872589,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
144,55,C,126,MAR,Marriott International,NASDAQ,89400000000,large_25_100b,可选消费,market_cap,,,上市公司|NASDAQ|消费零售,0001048286,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
145,55,C,189,CRWD,CrowdStrike,NASDAQ,60500000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技,0001535527,yes,1,George Kurtz,George_Kurtz,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
146,55,C,220,COHR,"Coherent, Inc.",NYSE,50300000000,large_25_100b,科技,market_cap,,,上市公司|NYSE|科技,0000820318,yes,1,Aidan Gomez,aidangomez,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
147,55,C,234,XYZ,"Block, Inc.",NYSE,45400000000,large_25_100b,科技,market_cap,,,上市公司|NYSE|科技,0001512673,yes,1,Jack Dorsey,jack,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
148,55,C,253,MCHP,Microchip Technology,NASDAQ,39700000000,large_25_100b,科技,market_cap,,,上市公司|NASDAQ|科技,0000827054,yes,1,Kevin Rose,kevinrose,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,expand_existing,
149,54,C,115,SO,Southern Company,NYSE,96400000000,large_25_100b,公用事业,market_cap,,,上市公司|NYSE|能源,0000092122,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
150,54,C,124,DUK,Duke Energy,NYSE,91600000000,large_25_100b,公用事业,market_cap,,,上市公司|NYSE|能源,0001326160,no,0,,,research_now,multi_person_current_and_legacy,CEO|Founder & CEO|Co-founder & CEO|Founder|Co-founder|Executive Chair|President|C-suite|Former CEO|Former Chair|Former President|Former C-suite|Retired Founder|Founder Emeritus,,,,,,,,,,,,,,needs_research,
